series,code,sku_full,name,product_size,packaging_size,gw_nw,spring,accessories,price_usd,img_total,has_featured,gallery,img_status
Wood Oak (O),O-RE001,Eleven-O-RE001,Coral Oak Reformer,237.5x63.5x39cm,247x84x61cm,130/90kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",495.00,10,Y,9,OK
Wood Oak (O),O-RE002,Eleven-O-RE002,Coral Oak Reformer Tower,233x74x198cm,241x75x52cm,179/120kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",754.29,11,Y,10,OK
Wood Oak (O),O-RE003,Eleven-O-RE003,Coral Oak Cadillac Reformer (High leg),228x85x198cm,245x81x78cm,205/170kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",942.86,11,Y,10,OK
Wood Oak (O),O-RE004,Eleven-O-RE004,Coral Oak Cadillac Reformer (Short leg),240x74x198cm,241x80x60cm,195/165kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",801.43,0,N,0,MISSING (0 images)
Wood Oak (O),O-RE005,Eleven-O-RE005,Coral Oak Cadillac,234x78x210cm,225x85x80cm,155/122kg,Germany springs,"with tower, box, fuzzies, roll down bar, trapeze, tool kit",542.14,8,Y,7,OK
Wood Oak (O),O-RE006,Eleven-O-RE006,Coral Oak Reformer Pro,233x85x35cm,244x80x55cm,135/105kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",612.86,11,Y,10,OK
Wood Oak (O),O-RE007,Eleven-O-RE007,Coral Oak Reformer Tower Pro,233x85x198cm,244x80x55cm,160/130kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",895.71,0,N,0,MISSING (0 images)
Wood Oak (O),O-RE008,Eleven-O-RE008,Coral Oak Ladder Barrel,112x63x98cm,115x72x110cm,64/40kg,No,"with pad cushion,wood stick",212.14,7,Y,6,OK
Wood Oak (O),O-RE009,Eleven-O-RE009,Coral Oak Chair,76x65x60cm,80x70x77cm,48/30kg,Germany springs,"with handles, straps, wood stick, tool kit",223.93,6,Y,5,OK
Wood Oak (O),O-RE010,Eleven-O-RE010,Coral Oak Chair Metal Base,75x69x110 cm,80x75x75cm,50/45kg,Germany springs,"with handles, straps, wood stick, tool kit",259.29,0,N,0,MISSING (0 images)
Wood Oak (O),O-RE011,Eleven-O-RE011,Coral Oak Spine Corrector,92x43x32cm,99x50x40cm   P,14/12kg,No,with wood stick   S,61.29,6,Y,5,OK
Wood Oak (O),O-RE012,Eleven-O-RE012,Coral Oak White Paint Reformer,237.5x63.5x39cm,247x84x61cm,130/90kg,5 Germany springs,"with box, jump board, double straps, foot strap, tool kit",542.14,1,Y,0,hero only (no detail shots)
Wood Maple (M),M-RE001,Eleven-M-RE001,Coral Maple Reformer,233x69x35cm,241x80x55cm,125/105kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",707.14,10,N,10,no hero (gallery only)
Wood Maple (M),M-RE002,Eleven-M-RE002,Coral Maple Reformer Tower,240x74x198 cm,241x75x52cm,179/119kg,Germany springs,"with tower, box, jump board, double straps, foot strap,",966.43,10,Y,9,OK
Wood Maple (M),M-RE003,Eleven-M-RE003,Coral Maple Cadillac Reformer (High leg),242x92x210cm,245x81x78cm,200/170kg,Germany springs,"with tower, box, fuzzies, roll down bar, trapeze, tool kit",1155.00,10,Y,9,OK
Wood Maple (M),M-RE004,Eleven-M-RE004,Coral Maple Cadillac Reformer (Short leg),242x92x210 cm,245x81x55cm,200/170kg,Germany springs,"with tower, box, fuzzies, roll down bar, trapeze, tool kit",1107.86,0,N,0,MISSING (0 images)
Wood Maple (M),M-RE005,Eleven-M-RE005,Coral Maple Cadillac,234x78x210cm,225x85x80cm,147/105kg,Germany springs,"with tower, box, fuzzies, roll down bar, trapeze, tool kit",777.86,11,Y,10,OK
Wood Maple (M),M-RE006,Eleven-M-RE006,Coral Maple Reformer Pro,233x85x35 cm,244x80x55cm,135/105kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",801.43,10,Y,9,OK
Wood Maple (M),M-RE007,Eleven-M-RE007,Coral Maple Reformer tower Pro,233x85x198cm,244x80x55cm,160/130kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",1060.71,1,Y,0,hero only (no detail shots)
Wood Maple (M),M-RE008,Eleven-M-RE008,Coral Maple Chair,76x65x60cm,90x70x77cm,48/30kg,Germany springs,"with handles, straps, wood stick, tool kit",235.71,7,Y,6,OK
Wood Maple (M),M-RE009,Eleven-M-RE009,Coral Maple Chair Metal Base,75x69x110 cm,80x70x77cm,50/45kg,Germany springs,"with handles, straps, wood stick, tool kit",318.21,6,Y,5,OK
Wood Maple (M),M-RE010,Eleven-M-RE010,Coral Maple Ladder Barrel,112x63x98cm,115x66x80cm,64/40kg,No,"with pad cushion,wood stick",259.29,9,Y,8,OK
Wood Maple (M),M-RE011,Eleven-M-RE011,Coral Chair Barrel Combo Set,140x82.5x97cm,124x70x108cm,93/70kg,Germany springs,"with pad cushion,handles, straps, wood stick, tool kit",1119.64,6,Y,5,OK
Wood Maple (M),M-RE012,Eleven-M-RE012,Coral Maple Spine Corrector,92x43x32cm,99x50x40cm,14/12kg,No,with wood stick,82.50,6,Y,5,OK
Wood Maple (M),M-RE013,Eleven-M-RE013,Coral Maple Barrel Metal Base,120x60x100.5cm,135x70x114cm,71/45kg,No,"with wood stick, pad cushion",294.64,6,Y,5,OK
Wood Maple (M),M-RE014,Eleven-M-RE014,Coral Splicing Maple Reformer,244x73x48.5cm,232x79x55.5cm,151/104kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",919.29,6,Y,5,OK
Wood Maple (M),M-RE015,Eleven-M-RE015,Coral Splicing Maple Reformer Tower,244x73x48.5cm,232x79x55.5cm,187/128kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",1225.71,8,Y,7,OK
Wood Maple (M),M-RE016,Eleven-M-RE016,Coral Maple Reformer Inside Footbar,237x69x33cm,243x73x49cm,125/80kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",1579.29,11,Y,10,OK
Aluminum (A),A-RE001,Eleven-A-RE001,Coral Aluminum Reformer,230*59*35cm,242*64*54cm,110/73kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",589.29,14,Y,13,OK
Aluminum (A),A-RE002,Eleven-A-RE002,Coral Aluminum Reformer Tower,230*60*198cm,242*64*54cm,130/100kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",895.71,8,Y,7,OK
Aluminum (A),A-RE003,Eleven-A-RE003,Coral Black Aluminum Reformer,237x73x35cm,260x75x49cm,131/95kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",589.29,6,Y,5,OK
Aluminum (A),A-RE004,Eleven-A-RE004,Coral Black Aluminum Reformer Tower,237x73x196cm,248x74x49cm,149/98kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",942.86,13,N,13,no hero (gallery only)
Aluminum (A),A-RE005,Eleven-A-RE005,Coral White Aluminum Reformer,237x73x35cm,260x75x49cm,131/95kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",589.29,9,Y,8,OK
Aluminum (A),A-RE006,Eleven-A-RE006,Coral White Aluminum Reformer Tower,237x73x196cm,248x74x49cm,149/98kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",942.86,8,Y,7,OK
Aluminum (A),A-RE007,Eleven-A-RE007,Coral White Aluminum Cadillac Reformer,241x72x200cm,250x80x55cm,150/130kg,Germany springs,"with tower, box, fuzzies, roll down bar, trapeze, tool kit",1013.57,0,N,0,MISSING (0 images)
Aluminum (A),A-RE008,Eleven-A-RE008,Coral Aluminum Reformer Pro,237x73x35cm,248x74x49cm,95/68kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",801.43,0,N,0,MISSING (0 images)
Aluminum (A),A-RE009,Eleven-A-RE009,Coral Aluminum Reformer Max,245x70x39cm,248x75x51cm,108/75kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",730.71,0,N,0,MISSING (0 images)
Aluminum (A),A-RE010,Eleven-A-RE010,Coral Metal Ladder Barrel,125x92x92cm,132x102x94cm,92/54kg,No,with pad cushion,471.43,0,N,0,MISSING (0 images)
Aluminum (A),A-RE011,Eleven-A-RE011,Coral Metal Chair,80x68x100cm,80x78x94cm,61/40kg,Germany springs,"with handles, straps, wood stick, tool kit",471.43,1,Y,0,hero only (no detail shots)
Aluminum (A),A-RE012,Eleven-A-RE012,Coral Anodized White Aluminum Reformer,237x73x35cm,260x75x49cm,131/95kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",660,6,Y,5,OK
Professional (AB),AB-RE001,Eleven-AB-RE001,Coral AR-1,230x60x37cm,246x65x54cm,115/72kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",683.57,0,-,0,series has NO images yet
Professional (AB),AB-RE002,Eleven-AB-RE002,Coral AR-1 Pro,230x60x196cm,242x64x54cm,140/100kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",1107.86,0,-,0,series has NO images yet
Professional (AB),AB-RE003,Eleven-AB-RE003,Coral AR-2,240x82x38 cm,250x87x63cm,140/95kg,Germany springs,"with box, jump board, double straps, foot strap, tool kit",1320.00,0,-,0,series has NO images yet
Professional (AB),AB-RE004,Eleven-AB-RE004,Coral AR-2 Pro,240x82x196cm,247x86x44cm,170/140kg,Germany springs,"with tower, box, jump board, double straps, foot strap, tool kit",1815.00,0,-,0,series has NO images yet
Professional (AB),AB-RE005,Eleven-AB-RE005,Coral AR-2 Pro Max,240x82x198 cm,247x84x62cm,190/160kg,Germany springs,"with tower, box, fuzzies, roll down bar, trapeze, tool kit",2027.14,0,-,0,series has NO images yet
